,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nrun,-6034.27229852,-6034.17892388,-6034.24689463,-6034.41896829,-6034.27927133,0.0505649105438,-2.55623262513,1.12821164,7,"2580,2554,2579,2576,","2580,2554,2579,2576,"
base_alpha1,-6035.66992354,-6035.68880596,-6035.71385006,-6035.60079551,-6035.66834377,0.0242466265901,-3.94530506398,1.12821164,7,"4797,4758,4743,4766,","4797,4758,4743,4766,"
base_yhe,-6031.71238646,-6031.74975782,-6031.7198362,-6031.71017434,-6031.7230387,0.00914298148047,0.0,0.225642328,7,"2150,2161,2146,2168,","2150,2161,2146,2168,"
