,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5676.67933944,-5676.60482308,-5676.7879043,-5676.54842804,-5676.65512372,0.051745535655,0.0,1.0,6,"1988,1974,1981,1974,","1988,1974,1981,1974,"
base_Alens,-5680.72781806,-5680.7487873,-5680.68129127,-5680.65550289,-5680.70334988,0.0212899952171,-4.04822616333,10.0,7,"3190,3165,3159,3161,","3190,3165,3159,3161,"
base_r,-5680.577694,-5680.4646103,-5680.41405816,-5680.50637674,-5680.4906848,0.0346029370514,-3.83556108416,3.0,7,"4361,4354,4336,4347,","4361,4354,4336,4347,"
base_nnu_mnu,-5682.62181117,-5682.50154039,-5682.72689328,-5682.60301007,-5682.61331373,0.0461627245642,-5.95819001065,49.75,8,"3945,3929,4073,3983,","3945,3929,4073,3983,"
base_nrun_r,-5684.80691761,-5684.86956723,-5684.93641479,-5684.85752262,-5684.86760556,0.0266509083726,-8.21248184715,6.0,8,"3819,3792,3799,3799,","3819,3792,3799,3799,"
