,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5674.06451587,-5674.01020437,-5674.20274784,-5673.89278117,-5674.04256231,0.0643057724818,0.0,1.0,6,"1855,1811,1809,1836,","1855,1811,1809,1836,"
base_r,-5677.96495719,-5677.82180797,-5677.76873203,-5677.84799169,-5677.85087222,0.0414481801568,-3.80830990883,3.0,7,"4096,3977,4048,4020,","4096,3977,4048,4020,"
base_nrun_r,-5682.10746814,-5682.14705453,-5682.21817425,-5682.10126223,-5682.14348979,0.0268812216254,-8.10092747576,6.0,8,"3616,3572,3563,3615,","3616,3572,3563,3615,"
