,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-1278.04712549,-1278.19180071,-1278.24196281,-1278.23050295,-1278.17784799,0.0448760388782,0.0,1.0,6,"2132,2122,2119,2139,","2132,2122,2119,2139,"
base_mnu,-1281.43865413,-1281.46900846,-1281.34296039,-1281.09484628,-1281.33636732,0.0848685958583,-3.15851932691,5.0,7,"2209,2184,2218,2181,","2209,2184,2218,2181,"
