,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_omegak,-5680.51054231,-5680.47717684,-5680.22434015,-5680.29846489,-5680.37763105,0.0691255792603,-1.50414432127,0.338463492,7,"1898,1896,1908,1892,","1898,1896,1908,1892,"
base_nnu,-5679.03104366,-5679.02376809,-5678.73093783,-5678.70819732,-5678.87348673,0.0889988065245,0.0,5.612852909,7,"2217,2202,2215,2208,","2217,2202,2215,2208,"
base_w,-5679.18333461,-5679.1236608,-5679.13914053,-5679.01041375,-5679.11413742,0.0368133809738,-0.240650694634,2.25642328,7,"2512,2514,2506,2510,","2512,2514,2506,2510,"
base_w_wa,-5679.25898944,-5679.35835408,-5679.16943866,-5679.19752702,-5679.2460773,0.0418363965108,-0.372590574312,11.2821164,8,"2557,2827,2811,2809,","2557,2827,2811,2809,"
