,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_omegak,-5675.26274079,-5675.17655867,-5675.35077816,-5675.04700396,-5675.2092704,0.0647327741079,-1.71629076252,0.338463492,7,"8195,8321,8252,8242,","8195,8321,8252,8242,"
base_nnu,-5673.42551538,-5673.63750551,-5673.48103538,-5673.42786226,-5673.49297963,0.0498515218057,0.0,5.612852909,7,"9534,9595,9546,9547,","9534,9595,9546,9547,"
base_mnu,-5674.01550771,-5673.94330261,-5674.06285725,-5674.02843372,-5674.01252532,0.0251446785324,-0.519545689251,2.8205291,7,"12616,12743,12554,12578,","12616,12743,12554,12578,"
base_w,-5673.85294261,-5673.841347,-5673.71908971,-5673.57898619,-5673.74809138,0.0639844095202,-0.255111744731,2.25642328,7,"11033,11080,10986,11022,","11033,11080,10986,11022,"
base_w_wa,-5673.83106075,-5673.69508239,-5673.7372196,-5673.59891225,-5673.71556875,0.0481625645005,-0.22258911366,11.2821164,8,"10062,11949,11915,11816,","10062,11949,11915,11816,"
base_nnu_meffsterile,-5676.45221125,-5676.47002081,-5676.33456332,-5676.52830819,-5676.44627589,0.0406284455006,-2.95329625663,11.7683756168,8,"23386,23544,22939,23259,","23386,23544,22939,23259,"
