,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6513.07408156,-6512.94663383,-6513.02376468,-6513.12612779,-6513.04265197,0.0382232957071,0.0,1.0,6,"2664,2663,2654,2645,","2664,2663,2654,2645,"
base_Alens,-6514.42731218,-6514.2757905,-6514.65029132,-6514.44991576,-6514.45082744,0.0769077197701,-1.40817547393,10.0,7,"2852,2849,2868,2846,","2852,2849,2868,2846,"
base_nrun,-6517.41850711,-6517.53918624,-6517.47171617,-6517.48070365,-6517.47752829,0.0247134673499,-4.43487632627,2.0,7,"2667,2646,2687,2659,","2667,2646,2687,2659,"
base_r,-6517.12075353,-6516.95558031,-6517.28140118,-6516.64605017,-6517.0009463,0.135713561782,-3.95829432875,3.0,7,"3223,3157,3159,3160,","3223,3157,3159,3160,"
base_alpha1,-6520.58273766,-6520.67771201,-6520.51264398,-6520.38346492,-6520.53913964,0.0619406490893,-7.4964876744,2.0,7,"3726,3825,3793,3705,","3726,3825,3793,3705,"
base_yhe,-6515.48230602,-6515.53682643,-6515.27064899,-6515.35572507,-6515.41137662,0.0603255024188,-2.3687246578,0.4,7,"2750,2713,2757,2722,","2750,2713,2757,2722,"
base_nnu_mnu,-6519.58937991,-6519.45697673,-6519.50648843,-6519.4859496,-6519.50969867,0.0284356389252,-6.46704669946,49.75,8,"4347,4326,4295,4281,","4347,4326,4295,4281,"
base_nrun_r,-6521.13357468,-6521.44240156,-6521.07436264,-6520.99609081,-6521.16160742,0.0977405501474,-8.11895545537,6.0,8,"3957,3851,3951,3953,","3957,3851,3951,3953,"
base_nnu_yhe,-6517.48233309,-6517.82737421,-6517.57007189,-6517.68492506,-6517.64117606,0.0746495236814,-4.59852409537,3.98,8,"3756,3732,3739,3715,","3756,3732,3739,3715,"
