,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nnu,-6518.60692312,-6518.77355064,-6518.95401274,-6518.79009298,-6518.78114487,0.0709308708836,-1.73004322187,5.612852909,7,"3207,3263,3251,3279,","3207,3263,3251,3279,"
base_nrun,-6520.6757431,-6520.91919837,-6520.88387031,-6520.9679773,-6520.86169727,0.0643379211238,-3.81059562259,1.12821164,7,"2667,2646,2687,2659,","2667,2646,2687,2659,"
base_w,-6516.98427699,-6516.83150389,-6517.03592691,-6517.3526988,-6517.05110165,0.109498793372,0.0,2.25642328,7,"2287,2262,2265,2278,","2287,2262,2265,2278,"
base_alpha1,-6523.34242063,-6523.47585255,-6523.23371249,-6523.06122087,-6523.27830163,0.0876783228877,-6.22719998572,1.12821164,7,"3726,3825,3793,3705,","3726,3825,3793,3705,"
base_yhe,-6518.65920456,-6518.68245621,-6518.42586258,-6518.52351527,-6518.57275965,0.060214766787,-1.5216580056,0.225642328,7,"2750,2713,2757,2722,","2750,2713,2757,2722,"
base_nnu_yhe,-6520.34270064,-6520.60241211,-6520.3821713,-6520.46186813,-6520.44728805,0.0573401899367,-3.39618639967,2.2451411636,8,"3756,3732,3739,3715,","3756,3732,3739,3715,"
