,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6863.85123447,-6863.72575799,-6863.81692562,-6863.94074937,-6863.83366686,0.0444408584141,0.0,1.0,6,"2664,2663,2654,2645,","2664,2663,2654,2645,"
base_Alens,-6865.22962713,-6865.08162488,-6865.43903912,-6865.26379413,-6865.25352132,0.073394881847,-1.41985445275,10.0,7,"2852,2849,2868,2846,","2852,2849,2868,2846,"
base_nnu,-6866.5359649,-6866.62632272,-6866.82583265,-6866.64187024,-6866.65749763,0.0607748397768,-2.82383076398,9.95,7,"3207,3263,3251,3279,","3207,3263,3251,3279,"
base_mnu,-6867.06593549,-6866.8097632,-6867.03785383,-6866.92830576,-6866.96046457,0.0583511673458,-3.12679770575,5.0,7,"4178,4143,4108,4166,","4178,4143,4108,4166,"
base_nrun,-6868.2208587,-6868.32866282,-6868.24069081,-6868.25846224,-6868.26216864,0.0234574476618,-4.42850178097,2.0,7,"2667,2646,2687,2659,","2667,2646,2687,2659,"
base_r,-6867.92610835,-6867.78219126,-6868.08170946,-6867.45845533,-6867.8121161,0.132805074739,-3.97844923695,3.0,7,"3223,3157,3159,3160,","3223,3157,3159,3160,"
base_alpha1,-6871.34565087,-6871.42933719,-6871.25866042,-6871.1564626,-6871.29752777,0.0585232208062,-7.46386090715,2.0,7,"3726,3825,3793,3705,","3726,3825,3793,3705,"
base_yhe,-6866.27263412,-6866.33509465,-6866.07544405,-6866.16217611,-6866.21133723,0.0577039708461,-2.37767037,0.4,7,"2750,2713,2757,2722,","2750,2713,2757,2722,"
base_nrun_r,-6871.93861132,-6872.25315109,-6871.89289273,-6871.8126981,-6871.97433831,0.096511622587,-8.14067144787,6.0,8,"3957,3851,3951,3953,","3957,3851,3951,3953,"
