,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nnu,-5675.74888312,-5675.90500609,-5675.67612613,-5675.98898953,-5675.82975122,0.0713912066005,-1.7178579628,5.612852909,7,"4037,4045,4031,4036,","4037,4045,4031,4036,"
base_nrun,-5677.88555407,-5677.77474966,-5677.89847235,-5677.99811162,-5677.88922192,0.0456981847734,-3.77732867222,1.12821164,7,"2580,2554,2579,2576,","2580,2554,2579,2576,"
base_w,-5674.12030502,-5673.96187184,-5674.2570302,-5674.10836595,-5674.11189325,0.06031470161,0.0,2.25642328,7,"2172,2188,2158,2203,","2172,2188,2158,2203,"
base_alpha1,-5679.28876455,-5679.2877777,-5679.19343033,-5679.22004948,-5679.24750551,0.0241559449784,-5.13561226038,1.12821164,7,"3358,3331,3321,3337,","3358,3331,3321,3337,"
base_yhe,-5675.22628105,-5675.29041764,-5675.23931095,-5675.20023622,-5675.23906146,0.0189478627952,-1.12716821099,0.225642328,7,"2150,2161,2146,2168,","2150,2161,2146,2168,"
base_nnu_yhe,-5677.51078068,-5677.71308401,-5677.53833228,-5677.68708259,-5677.61231989,0.0512569085105,-3.50042663816,2.2451411636,8,"6301,6253,6260,6301,","6301,6253,6260,6301,"
