,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nnu,-6026.77047031,-6026.79830398,-6026.5784361,-6026.51207953,-6026.66482248,0.0705760762137,0.0,5.612852909,7,"2217,2202,2215,2208,","2217,2202,2215,2208,"
base_mnu,-6027.31594586,-6027.51578045,-6027.43743423,-6027.28058029,-6027.38743521,0.0543914073434,-0.722612724586,2.8205291,7,"3042,3022,3019,3026,","3042,3022,3019,3026,"
base_nnu_meffsterile,-6029.4396994,-6029.53130846,-6029.35098899,-6029.46442756,-6029.4466061,0.0372854175923,-2.78178362245,11.7683756168,8,"7229,7290,7247,7341,","7229,7290,7247,7341,"
