,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5670.98554705,-5670.95083566,-5670.86356217,-5670.92000654,-5670.92998785,0.0258738180607,0.0,1.0,6,"1523,1524,1527,1519,","1523,1524,1527,1519,"
base_Alens,-5671.91342785,-5671.87891908,-5671.5914702,-5671.69734266,-5671.77028995,0.076150375319,-0.840302095112,10.0,7,"2695,2673,2677,2675,","2695,2673,2677,2675,"
base_nrun,-5674.89338381,-5674.81740497,-5674.97566689,-5674.91932667,-5674.90144558,0.0328587283711,-3.97145773049,2.0,7,"2580,2554,2579,2576,","2580,2554,2579,2576,"
base_r,-5674.80905568,-5674.88669573,-5674.87335222,-5674.72001862,-5674.82228056,0.038067955198,-3.89229270653,3.0,7,"5836,5861,5800,5794,","5836,5861,5800,5794,"
base_alpha1,-5676.45515849,-5676.48684665,-5676.51277055,-5676.48055165,-5676.48383184,0.011830254006,-5.55384398385,2.0,7,"3359,3332,3322,3338,","3359,3332,3322,3338,"
base_yhe,-5672.76609922,-5672.81609978,-5672.73309699,-5672.86469511,-5672.79499778,0.0288239579039,-1.86500992451,0.4,7,"2150,2161,2146,2168,","2150,2161,2146,2168,"
base_nnu_mnu,-5677.01126887,-5677.13994449,-5677.08540579,-5676.99487797,-5677.05787428,0.0337071981271,-6.12788642884,49.75,8,"3488,3554,3510,3472,","3488,3554,3510,3472,"
base_nrun_r,-5678.56204581,-5678.64828419,-5678.48306711,-5678.61627543,-5678.57741814,0.0361366751477,-7.64743028426,6.0,8,"4730,4743,4745,4753,","4730,4743,4745,4753,"
base_nnu_yhe,-5675.22410564,-5675.39181658,-5675.32789099,-5675.30432764,-5675.31203521,0.0346500219412,-4.38204736034,3.98,8,"6293,6236,6244,6297,","6293,6236,6244,6297,"
