,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_mnu,-6033.17541321,-6033.05099616,-6032.99426176,-6033.10066266,-6033.08033345,0.0384300779179,0.0,2.8205291,7,"2882,2876,2877,2873,","2882,2876,2877,2873,"
base_nnu_meffsterile,-6034.77017171,-6034.90197944,-6034.94097681,-6034.85752969,-6034.86766441,0.036696693455,-1.78733096069,11.7683756168,8,"7095,7049,7087,7073,","7095,7049,7087,7073,"
