,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-1275.92467173,-1275.73321677,-1275.71541271,-1276.06745273,-1275.86018849,0.0837647496369,0.0,1.0,6,"9474,9503,9583,9504,","9474,9503,9583,9504,"
base_mnu,-1277.94641942,-1278.07507882,-1278.20872183,-1277.95449465,-1278.04617868,0.0616531735763,-2.18599019238,5.0,7,"9924,10037,10006,9990,","9924,10037,10006,9990,"
