,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6030.38037415,-6030.31053009,-6030.49304161,-6030.23576079,-6030.35492666,0.0546922249951,0.0,1.0,6,"1988,1974,1981,1974,","1988,1974,1981,1974,"
base_r,-6034.26314309,-6034.16217277,-6034.09588368,-6034.19886856,-6034.18001703,0.0349549224334,-3.82509036501,3.0,7,"4361,4354,4336,4347,","4361,4354,4336,4347,"
base_nrun_r,-6038.4611948,-6038.5257751,-6038.58930207,-6038.4980612,-6038.51858329,0.0270300170127,-8.16365663124,6.0,8,"3819,3792,3799,3799,","3819,3792,3799,3799,"
