,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5676.56757778,0.0,1.0,6,"7917,","7917,"
base_Alens,-5680.6804569,-4.11287911244,10.0,7,"12675,","12675,"
base_r,-5680.46994265,-3.90236487024,3.0,7,"17398,","17398,"
base_nnu_mnu,-5682.57475989,-6.0071821022,49.75,8,"15930,","15930,"
base_nrun_r,-5684.86488931,-8.29731152814,6.0,8,"15209,","15209,"
