,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_omegak,-5674.98890987,-1.77723389996,0.338463492,7,"33010,","33010,"
base_nnu,-5673.21167597,0.0,5.612852909,7,"38222,","38222,"
base_mnu,-5673.79441048,-0.582734512581,2.8205291,7,"50491,","50491,"
base_w,-5673.54736729,-0.335691317557,2.25642328,7,"44121,","44121,"
base_w_wa,-5673.47676746,-0.265091490049,11.2821164,8,"45742,","45742,"
base_nnu_meffsterile,-5676.14118307,-2.92950710399,11.7683756168,8,"93128,","93128,"
