,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nnu,-6518.77521371,-1.85212218916,5.612852909,7,"13000,","13000,"
base_nrun,-6520.92034916,-3.9972576369,1.12821164,7,"10659,","10659,"
base_w,-6516.92309152,0.0,2.25642328,7,"9092,","9092,"
base_alpha1,-6523.14135121,-6.21825969227,1.12821164,7,"15049,","15049,"
base_yhe,-6518.52086414,-1.59777262262,0.225642328,7,"10942,","10942,"
base_nnu_yhe,-6520.53818214,-3.61509061915,2.2451411636,8,"14942,","14942,"
