,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_mnu,-5673.97552466,0.0,2.8205291,7,"12109,","12109,"
base_nnu_meffsterile,-5675.97774774,-2.0022230874,11.7683756168,8,"29107,","29107,"
