,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_mnu,-6033.05712928,0.0,2.8205291,7,"11508,","11508,"
base_nnu_meffsterile,-6034.8218792,-1.7647499223,11.7683756168,8,"28304,","28304,"
