,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5670.83882874,0.0,1.0,6,"6093,","6093,"
base_Alens,-5671.71255799,-0.873729250668,10.0,7,"10720,","10720,"
base_nrun,-5674.82347859,-3.98464985046,2.0,7,"10289,","10289,"
base_r,-5674.7875782,-3.94874945912,3.0,7,"23291,","23291,"
base_alpha1,-5676.46116378,-5.62233504218,2.0,7,"13351,","13351,"
base_yhe,-5672.7296253,-1.89079656393,0.4,7,"8625,","8625,"
base_nnu_mnu,-5677.00289056,-6.16406182047,49.75,8,"14024,","14024,"
base_nrun_r,-5678.54169371,-7.70286497411,6.0,8,"18971,","18971,"
base_nnu_yhe,-5675.28811452,-4.44928577743,3.98,8,"25070,","25070,"
