,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nnu_mnu,-6872.66623479,-1.43450941132,28.064264545,8,"17245,","17245,"
base_nnu_yhe,-6871.23172537,0.0,2.2451411636,8,"14938,","14938,"
