,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-1275.60303864,0.0,1.0,6,"38064,","38064,"
base_mnu,-1277.73966171,-2.13662307035,5.0,7,"39957,","39957,"
