,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nrun,-6034.19738671,-2.54046992688,1.12821164,7,"10289,","10289,"
base_alpha1,-6035.66370612,-4.00678933042,1.12821164,7,"19064,","19064,"
base_yhe,-6031.65691679,0.0,0.225642328,7,"8625,","8625,"
