,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6513.06596946,0.0,1.0,6,"10626,","10626,"
base_Alens,-6514.44030346,-1.37433399958,10.0,7,"11415,","11415,"
base_nrun,-6517.54074948,-4.47478001676,2.0,7,"10659,","10659,"
base_r,-6516.98754678,-3.92157731342,3.0,7,"12699,","12699,"
base_alpha1,-6520.40319746,-7.33722800223,2.0,7,"15049,","15049,"
base_yhe,-6515.35959091,-2.29362145077,0.4,7,"10942,","10942,"
base_nnu_mnu,-6519.41723339,-6.35126392908,49.75,8,"17249,","17249,"
base_nrun_r,-6521.16915697,-8.10318751062,6.0,8,"15712,","15712,"
base_nnu_yhe,-6517.7323609,-4.66639143472,3.98,8,"14942,","14942,"
