,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-1278.17255419,0.0,1.0,6,"8512,","8512,"
base_mnu,-1281.50005389,-3.32749969615,5.0,7,"8792,","8792,"
