,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nnu_mnu,-6030.06996918,-1.64083044197,28.064264545,8,"14024,","14024,"
base_nnu_yhe,-6028.42913874,0.0,2.2451411636,8,"25066,","25066,"
