,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nnu,-5675.7795689,-1.69587569401,5.612852909,7,"16149,","16149,"
base_nrun,-5677.80914882,-3.72545561183,1.12821164,7,"10289,","10289,"
base_w,-5674.08369321,0.0,2.25642328,7,"8721,","8721,"
base_alpha1,-5679.22395887,-5.14026566197,1.12821164,7,"13347,","13347,"
base_yhe,-5675.17264207,-1.0889488581,0.225642328,7,"8625,","8625,"
base_nnu_yhe,-5677.58714194,-3.50344873131,2.2451411636,8,"25115,","25115,"
