,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5673.97201142,0.0,1.0,6,"7311,","7311,"
base_r,-5677.82193286,-3.84992144381,3.0,7,"16141,","16141,"
base_nrun_r,-5682.14912061,-8.17710918594,6.0,8,"14366,","14366,"
