,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6863.85702766,0.0,1.0,6,"10626,","10626,"
base_Alens,-6865.2430372,-1.38600954143,10.0,7,"11415,","11415,"
base_nnu,-6866.65181925,-2.79479158835,9.95,7,"13000,","13000,"
base_mnu,-6866.94343342,-3.08640575491,5.0,7,"16595,","16595,"
base_nrun,-6868.32551219,-4.46848453027,2.0,7,"10659,","10659,"
base_r,-6867.79872334,-3.94169567663,3.0,7,"12699,","12699,"
base_alpha1,-6871.16159176,-7.30456409523,2.0,7,"15049,","15049,"
base_yhe,-6866.1596338,-2.30260614072,0.4,7,"10942,","10942,"
base_nrun_r,-6871.98196353,-8.12493586521,6.0,8,"15712,","15712,"
