,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base_nnu,-6026.61362405,0.0,5.612852909,7,"8842,","8842,"
base_mnu,-6027.3447237,-0.731099656012,2.8205291,7,"12109,","12109,"
base_nnu_meffsterile,-6029.33873497,-2.72511091874,11.7683756168,8,"29107,","29107,"
