,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6030.26734536,0.0,1.0,6,"7917,","7917,"
base_r,-6034.15926129,-3.89191593088,3.0,7,"17398,","17398,"
base_nrun_r,-6038.51589786,-8.24855250838,6.0,8,"15209,","15209,"
